sequence,obstacle_count,representation_scope,obstacle_radius_m,safety_distance_m,inflated_radius_m,circle_area_m2,inflated_circle_area_m2,occupancy_resolution_m,bbox_min_x_m,bbox_max_x_m,bbox_min_y_m,bbox_max_y_m,bounding_box_area_m2,occupancy_grid_cells,occupancy_blocked_cells,occupancy_area_m2,occupancy_fill_ratio,bbox_over_occupancy_ratio
416,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
417,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
418,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
419,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
420,1,2d_ground_plane,0.2,0.5,0.7,0.1257,1.5394,0.1,0.2838,1.6838,0.0248,1.4248,1.96,196,156,1.56,0.7959,1.2564
345,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.4297,1.8069,-1.4235,1.7813,10.3728,1089,308,3.08,0.2969,3.3678
184,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
185,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
186,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
187,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
188,2,2d_ground_plane,0.2,0.5,0.7,0.2513,3.0788,0.1,-1.6041,1.8916,-0.6904,0.8461,5.3712,560,308,3.08,0.5734,1.7439
